code,name,credits,subjectGroup,tags
474-301,การตลาดแบบเชื่อมโยงลูกค้าผ่านหลากหลายช่องทาง,3,การตลาด,2563|2567
474-302,การวิจัยการตลาด,3,การตลาด,2563
474-302,การวัดและการประเมินผลทางการตลาด,3,การตลาด,2567
474-303,การตลาดดิจิทัล,3,การตลาด,2563
474-303,การวิจัยการตลาด,3,การตลาด,2567
474-304,การฝึกงานทางการตลาด,0,การตลาด,2563|2567
474-305,การตลาดเพื่อสังคม,3,การตลาด,2563
474-305,การสื่อสารทางการตลาดเชิงบูรณาการ,3,การตลาด,2567
474-306,การตลาดเพื่อชุมชน,3,การตลาด,2563
474-306,การตลาดดิจิทัล,3,การตลาด,2567
474-307,การตลาดบริการ,3,การตลาด,2563|2567
474-308,การตลาดอาเซียน,3,การตลาด,2563
474-308,ชุดวิชาการตลาดคลื่นลูกใหม่,6,การตลาด,2567
474-309,การเตรียมฝึกประสบการณ์วิชาชีพการตลาด,3,การตลาด,2563
474-309,ชุดวิชาการตลาดอย่างเซียน,6,การตลาด,2567
474-310,การตลาดแห่งความหลากหลาย,3,การตลาด,2567
474-311,การตลาดเพื่อชุมชน,3,การตลาด,2567
474-401,กลยุทธ์การตลาด,3,การตลาด,2563|2567
474-402,เตรียมสหกิจศึกษา,1,การตลาด,2563
474-403,สหกิจศึกษา,8,การตลาด,2563
474-404,การตลาดโลก,3,การตลาด,2563|2567
474-405,การตลาดสื่อสังคม,3,การตลาด,2563
474-405,การตลาดสำหรับผลิตภัณฑ์นวัตกรรม,3,การตลาด,2567
474-406,การตลาดสำหรับผู้ประกอบการ,3,การตลาด,2563
474-406,การตลาดเพื่อสิ่งแวดล้อมและความยั่งยืน,3,การตลาด,2567
474-407,การบริหารการค้าปลีก,3,การตลาด,2563
474-407,นวัตกรรมการค้าปลีก,3,การตลาด,2567
474-408,สัมมนาการตลาด,3,การตลาด,2563|2567
474-409,หัวข้อพิเศษทางการตลาด,3,การตลาด,2567
475-201,การวางแผนทรัพยากรมนุษย์,3,การจัดการทรัพยากรมนุษย์,2563|2567
475-202,พฤติกรรมองค์การ,3,การจัดการทรัพยากรมนุษย์,2563
475-202,จิตวิทยาทางธุรกิจและพฤติกรรมองค์กร,3,การจัดการทรัพยากรมนุษย์,2567
475-203,ภาวะผู้นำสำหรับศตวรรษที่ 21,3,การจัดการทรัพยากรมนุษย์,2567
475-204,การพัฒนาทรัพยากรมนุษย์,3,การจัดการทรัพยากรมนุษย์,2567
475-205,การจัดการผลตอบแทน,3,การจัดการทรัพยากรมนุษย์,2567
475-300,การฝึกงานทางการจัดการทรัพยากรมนุษย์,0,การจัดการทรัพยากรมนุษย์,2563|2567
475-301,การพัฒนาทรัพยากรมนุษย์และองค์การ,3,การจัดการทรัพยากรมนุษย์,2563
475-301,การจัดการประสิทธิภาพและผลการปฏิบัติงาน,3,การจัดการทรัพยากรมนุษย์,2567
475-302,กฎหมายเกี่ยวกับการจัดการทรัพยากรมนุษย์,3,การจัดการทรัพยากรมนุษย์,2563
475-302,การเจรจาต่อรอง และการจัดการความขัดแย้งและยากลำบาก,3,การจัดการทรัพยากรมนุษย์,2567
475-303,การจัดการผลตอบแทน,3,การจัดการทรัพยากรมนุษย์,2563
475-303,การวิจัยทางด้านการจัดการทรัพยากรมนุษย์,3,การจัดการทรัพยากรมนุษย์,2567
475-304,การจัดการผลการปฏิบัติงาน,3,การจัดการทรัพยากรมนุษย์,2563
475-304,กฎหมายเกี่ยวกับการจัดการทรัพยากรมนุษย์,3,การจัดการทรัพยากรมนุษย์,2567
475-305,ภาวะผู้นำ,3,การจัดการทรัพยากรมนุษย์,2563
475-306,การเจรจาต่อรองทางธุรกิจ,3,การจัดการทรัพยากรมนุษย์,2563
475-311,การจัดการสำนักงานยุคใหม่,3,การจัดการทรัพยากรมนุษย์,2563|2567
475-312,การประชาสัมพันธ์องค์การ,3,การจัดการทรัพยากรมนุษย์,2563
475-312,การออกแบบสื่อ,3,การจัดการทรัพยากรมนุษย์,2567
475-313,การจัดการข้ามวัฒนธรรม,3,การจัดการทรัพยากรมนุษย์,2563
475-313,การทำงานในความหลากหลาย,3,การจัดการทรัพยากรมนุษย์,2567
475-321,ระบบสารสนเทศเพื่อการจัดการทรัพยากรมนุษย์,3,การจัดการทรัพยากรมนุษย์,2563|2567
475-322,การออกแบบองค์การ,3,การจัดการทรัพยากรมนุษย์,2563
475-322,การออกแบบองค์กรและการออกแบบองค์กรใหม่,3,การจัดการทรัพยากรมนุษย์,2567
475-323,การจัดการทรัพยากรมนุษย์ระหว่างประเทศ,3,การจัดการทรัพยากรมนุษย์,2563
475-323,การจัดการการเปลี่ยนแปลง,3,การจัดการทรัพยากรมนุษย์,2567
475-324,แรงงานสัมพันธ์,3,การจัดการทรัพยากรมนุษย์,2563
475-324,การสร้างประสบการณ์ให้แก่พนักงาน,3,การจัดการทรัพยากรมนุษย์,2567
475-325,การให้คำปรึกษา,3,การจัดการทรัพยากรมนุษย์,2567
475-400,เตรียมสหกิจศึกษา,1,การจัดการทรัพยากรมนุษย์,2563
475-401,การวิจัยทางด้านการจัดการทรัพยากรมนุษย์,3,การจัดการทรัพยากรมนุษย์,2563
475-402,สัมมนาการจัดการทรัพยากรมนุษย์,3,การจัดการทรัพยากรมนุษย์,2563|2567
475-403,สหกิจศึกษา,8,การจัดการทรัพยากรมนุษย์,2563
475-411,หัวข้อพิเศษทางการจัดการ,3,การจัดการทรัพยากรมนุษย์,2563
475-411,สัมมนาทางด้านการจัดการสมัยใหม่,3,การจัดการทรัพยากรมนุษย์,2567
475-421,การจัดการทรัพยากรมนุษย์เชิงกลยุทธ์,3,การจัดการทรัพยากรมนุษย์,2563|2567
475-422,การจัดการบุคลากรที่เป็นเลิศ,3,การจัดการทรัพยากรมนุษย์,2563
475-422,การจัดการคนเก่ง,3,การจัดการทรัพยากรมนุษย์,2567
475-423,หัวข้อพิเศษทางการจัดการทรัพยากรมนุษย์,3,การจัดการทรัพยากรมนุษย์,2563|2567
476-201,ความรู้เบื้องต้นเกี่ยวกับการจัดการโลจิสติกส์,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563|2567
476-202,ความรู้เบื้องต้นเกี่ยวกับการขนส่งและการกระจายสินค้า,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-202,การจัดการธุรกิจระหว่างประเทศสำหรับโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-203,การจัดการสินค้าคงคลังและคลังสินค้า,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-203,การจัดการขนส่ง,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-204,การจัดการธุรกิจระหว่างประเทศ,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-204,การจัดซื้อและการจัดหา,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-205,การบริหารความสัมพันธ์ลูกค้าสำหรับโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-300,การฝึกงานทางโลจิสติกส์,0,การจัดการโลจิสติกส์และโซ่อุปทาน,2563|2567
476-301,การจัดซื้อและการจัดหา,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-301,การจัดการคลังสินค้าและการกระจายสินค้า,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-302,การจัดการและการออกแบบโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-302,การวิเคราะห์และการจัดการสินค้าคงคลัง,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-303,การสร้างแบบจำลองโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-303,ตัวแบบการหาค่าเหมาะสมที่สุดในการจัดการโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-304,วิธีวิจัยโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-304,การจัดการการส่งออกและนำเข้า,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-305,ตัวแบบการหาค่าเหมาะสมที่สุดในการจัดการโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-305,วิธีวิจัยโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-306,การวางแผนการจัดการทรัพยากรเพื่อการจัดการโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-307,ธุรกิจพาณิชยนาวี,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-308,การบริหารท่าเรือ,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-309,การพยากรณ์อุปสงค์,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-310,การบริหารจัดการโครงการด้านโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-311,การสร้างแบบจำลองโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-312,การบริหารความสัมพันธ์ลูกค้าสำหรับโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-313,การวางแผนการจัดการทรัพยากรเพื่อการจัดการโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-314,ธุรกิจพาณิชยนาวี,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-315,การบริหารท่าเรือ,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-316,การพยากรณ์อุปสงค์,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-317,เทคโนโลยีสารสนเทศสำหรับการจัดการโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-318,สถิติเพื่อการวิจัยสำหรับการจัดการโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-400,เตรียมสหกิจศึกษา,1,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-401,การจัดการการส่งออกและนำเข้า,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-401,การจัดการและการออกแบบโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-402,สัมมนาการจัดการโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563|2567
476-403,โครงงานสำหรับการจัดการโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563|2567
476-404,การขนส่งต่อเนื่องหลายรูปแบบ,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-405,การจัดการระวางสินค้า,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-406,การบรรจุภัณฑ์สำหรับการจัดการโลจิสติกส์,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-407,การบริหารความเสี่ยงในโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-408,การจัดการโลจิสติกส์และโซ่อุปทานเพื่อการช่วยเหลือทางมนุษยธรรม,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-409,หัวข้อพิเศษด้านการจัดการโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
476-410,สหกิจศึกษา,8,การจัดการโลจิสติกส์และโซ่อุปทาน,2563
