code,name,credits,subjectGroup,tags
478-402,การวิจัยในอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2567
478-403,สหกิจศึกษา,8,การจัดการไมซ์,2563
478-404,การออกแบบนวัตกรรมและความคิดสร้างสรรค์สำหรับอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2563
478-405,การจัดการอุตสาหกรรมไมซ์อย่างยั่งยืน,3,การจัดการไมซ์,2563
478-405,การจัดการพิธีการ,3,การจัดการไมซ์,2567
478-406,การบริหารความเสี่ยงในอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2563
478-406,การเจรจาต่อรองและการจัดการความสัมพันธ์,3,การจัดการไมซ์,2567
478-407,หัวข้อพิเศษทางการจัดการอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2563
478-407,การจัดการโซ่อุปทานในอุตสาหกรรมไมซ์,3,การจัดการไมซ์,2567
478-408,การวางแผนและการดำเนินการงานแต่งงาน,3,การจัดการไมซ์,2567
478-409,เมกะอีเวนต์และเทศกาลนานาชาติ,3,การจัดการไมซ์,2567
478-410,การจัดการคอนเสิร์ตและเทศกาลดนตรี,3,การจัดการไมซ์,2567
478-411,หัวข้อพิเศษทางการจัดการไมซ์,3,การจัดการไมซ์,2567
874-293,กฎหมายธุรกิจ,3,วิชาแกนธุรกิจ,2563
876-102,หลักเศรษฐศาสตร์พื้นฐานและการประยุกต์,3,วิชาแกนธุรกิจ,2563
876-106,เศรษฐศาสตร์สำหรับบริหารธุรกิจ,3,วิชาแกนธุรกิจ,2567
